actual dist,angle,var
3.0-3.25,0.0-0.2,0.000363580596352
3.0-3.25,0.0-0.2,0.000315698841905
3.0-3.25,0.0-0.2,0.000287544012195
3.0-3.25,0.0-0.2,0.00023964266377
3.0-3.25,0.2-0.4,0.000337836740382
3.0-3.25,0.2-0.4,0.00046514132614
3.0-3.25,0.4-0.6,0.000722930161327
3.0-3.25,0.4-0.6,0.000956055956917
3.0-3.25,0.6-0.8,0.00072512902633
3.0-3.25,0.6-0.8,0.000624109910031
3.0-3.25,0.8-1.0,0.000305518236606
3.0-3.25,1.0-1.2,0.000574092462197
3.0-3.25,1.0-1.2,0.000232062645258
3.0-3.25,1.2-1.4,0.000480734796523
3.0-3.25,1.2-1.4,0.000549886327954
3.0-3.25,1.4-1.6,0.000408877658227
3.0-3.25,1.4-1.6,0.000429671311307
3.0-3.25,1.4-1.6,0.000385891517331
3.0-3.25,1.4-1.6,0.000246038396086
3.0-3.25,1.4-1.6,0.000630248696813
3.0-3.25,1.2-1.4,0.000686506629858
3.0-3.25,1.2-1.4,0.000831396062859
3.0-3.25,0.8-1.0,0.000432888113555
3.0-3.25,0.8-1.0,0.000205152169703
3.0-3.25,0.8-1.0,0.000307672701908
3.0-3.25,0.6-0.8,0.000387048777878
3.0-3.25,0.6-0.8,0.000308155034386
3.0-3.25,0.4-0.6,0.00101630877025
3.0-3.25,0.4-0.6,0.000916095970806
3.0-3.25,0.2-0.4,0.000759585418466
2.75-3.0,0.0-0.2,0.00119054714407
2.75-3.0,0.2-0.4,0.000340327060937
2.75-3.0,0.2-0.4,0.000782776485336
2.75-3.0,0.0-0.2,0.000980376518643
2.75-3.0,0.0-0.2,0.000931310923401
3.0-3.25,0.0-0.2,0.000175210741124
3.0-3.25,0.0-0.2,0.000529089816604
3.0-3.25,0.0-0.2,0.00025812635501
3.0-3.25,0.2-0.4,0.000443068650006
3.0-3.25,0.2-0.4,0.000373537444252
3.0-3.25,0.4-0.6,0.000376260372484
3.0-3.25,0.6-0.8,0.000224407064
3.0-3.25,0.6-0.8,0.000427776484237
3.0-3.25,0.8-1.0,0.000453913327853
3.0-3.25,0.8-1.0,0.000274492580859
3.0-3.25,1.0-1.2,0.000355584973446
3.0-3.25,1.0-1.2,0.00041508324578
3.0-3.25,1.2-1.4,0.000366529303508
3.0-3.25,1.2-1.4,0.000286965526696
3.0-3.25,1.4-1.6,0.000663388597111
3.0-3.25,1.4-1.6,0.00065248779392
3.0-3.25,1.4-1.6,0.000597970388904
3.0-3.25,1.4-1.6,0.00091562269299
3.0-3.25,1.2-1.4,0.00154842917275
3.0-3.25,1.2-1.4,0.000410394065156
3.0-3.25,1.0-1.2,0.000518204299653
3.0-3.25,1.0-1.2,0.000608300878098
3.0-3.25,0.8-1.0,0.000307403939304
3.0-3.25,0.8-1.0,0.000769903364353
3.0-3.25,0.6-0.8,0.000769591216542
3.0-3.25,0.6-0.8,0.00135820684505
3.0-3.25,0.4-0.6,0.0013625376186
3.0-3.25,0.4-0.6,0.0018395191095
3.0-3.25,0.4-0.6,0.00138492590476
3.0-3.25,0.2-0.4,0.000968394237973
3.0-3.25,0.2-0.4,0.00121767310482
3.0-3.25,0.2-0.4,0.000852319750364
3.0-3.25,0.0-0.2,0.000432448785914
3.0-3.25,0.0-0.2,0.00063725255036
3.0-3.25,0.0-0.2,0.000689829155975
3.25-3.5,0.0-0.2,0.000463550536735
3.25-3.5,0.0-0.2,0.000406646672631
3.25-3.5,0.2-0.4,0.000685556049296
3.25-3.5,0.2-0.4,0.000362172766492
3.25-3.5,0.2-0.4,0.000520072283528
3.25-3.5,0.4-0.6,0.000551508752682
3.25-3.5,0.4-0.6,0.000458517738486
3.25-3.5,0.6-0.8,0.00037335472855
3.0-3.25,0.6-0.8,0.000416597782999
3.0-3.25,0.6-0.8,0.000435839583231
3.0-3.25,0.8-1.0,0.00108508160738
3.0-3.25,1.0-1.2,0.000441696143659
3.0-3.25,1.0-1.2,0.000258015515977
3.0-3.25,1.2-1.4,0.000390777523706
3.0-3.25,1.2-1.4,0.000567357262025
3.0-3.25,1.4-1.6,0.000591529748459
3.0-3.25,1.4-1.6,0.000296040077071
3.0-3.25,1.4-1.6,0.000313882686348
3.0-3.25,1.2-1.4,0.000955647667205
3.0-3.25,1.2-1.4,0.000675202582012
3.0-3.25,1.0-1.2,0.000357102394285
3.0-3.25,1.0-1.2,0.00024282456411
3.0-3.25,0.8-1.0,0.000208115186207
3.0-3.25,0.8-1.0,0.000775573453069
3.0-3.25,0.6-0.8,0.000742424052658
3.0-3.25,0.6-0.8,0.00049453010108
3.0-3.25,0.4-0.6,0.000713890651187
3.0-3.25,0.4-0.6,0.000437468445474
3.0-3.25,0.2-0.4,0.0002915005563
3.0-3.25,0.2-0.4,0.000637420174863
3.0-3.25,0.0-0.2,0.00103493929943
3.0-3.25,0.0-0.2,0.000852305109299
3.0-3.25,0.0-0.2,0.0005517345719
3.25-3.5,0.0-0.2,0.00117784185593
3.25-3.5,0.0-0.2,0.00088881691612
3.25-3.5,0.2-0.4,0.000962614325327
3.25-3.5,0.2-0.4,0.00110419174581
3.25-3.5,0.4-0.6,0.00124038823503
3.25-3.5,0.4-0.6,0.00107948457442
3.25-3.5,0.6-0.8,0.00115217075616
3.25-3.5,0.6-0.8,0.00141085282594
3.25-3.5,0.8-1.0,0.000382212604069
3.25-3.5,0.8-1.0,0.000380775729547
3.25-3.5,1.0-1.2,0.000798325769759
3.25-3.5,1.0-1.2,0.000547224648016
3.25-3.5,1.2-1.4,0.00029622402661
3.25-3.5,1.4-1.6,0.000432830427383
3.25-3.5,1.4-1.6,0.000172346808387
3.25-3.5,1.4-1.6,0.000487253463977
3.25-3.5,1.4-1.6,0.0004703610554
3.25-3.5,1.4-1.6,0.000914162389067
3.25-3.5,1.2-1.4,0.00102099084606
3.25-3.5,1.2-1.4,0.00144547048882
3.25-3.5,1.2-1.4,0.000774739866311
3.25-3.5,1.0-1.2,0.000574307428027
3.25-3.5,1.0-1.2,0.000908976449773
3.25-3.5,1.0-1.2,0.000980559723237
3.25-3.5,0.8-1.0,0.000412062616757
3.25-3.5,0.8-1.0,0.000243343959454
3.0-3.25,0.6-0.8,0.000270342797199
3.0-3.25,0.4-0.6,0.00106336181388
3.0-3.25,0.4-0.6,0.00101813918044
3.0-3.25,0.2-0.4,0.00132346928655
3.0-3.25,0.2-0.4,0.00187339659003
3.0-3.25,0.0-0.2,0.0012980896374
3.0-3.25,0.0-0.2,0.00204065098681
3.0-3.25,0.0-0.2,0.00112617214151
3.0-3.25,0.0-0.2,0.00141635547534
3.25-3.5,0.0-0.2,0.000333164403352
3.25-3.5,0.0-0.2,0.000348672948662
3.25-3.5,0.2-0.4,0.000820506257538
3.25-3.5,0.2-0.4,0.000447199255993
3.25-3.5,0.4-0.6,0.000202632435751
3.25-3.5,0.4-0.6,0.000396558171428
3.25-3.5,0.6-0.8,0.000291141316665
3.25-3.5,0.6-0.8,0.000233567441424
3.25-3.5,0.8-1.0,0.000579899046859
3.25-3.5,0.8-1.0,0.000450832305165
